,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,3,5,4,4D,3N,4,4,36
1,BACK TEE,519,400,200,509,400,392,162,375,393,3350
2,REGTEE,502,385,175,481,381,357,148,355,352,3136
3,FRONT1,482,365,175,461,369,357,148,355,340,3052
4,FRONT2,477,340,168,456,333,347,144,345,332,2942
5,GOLD,467,323,168,456,303,337,144,345,304,2847
6,LADIES,433,248,168,446,291,301,144,235,278,2544
7,Hdcp,8,2,16,12,6,14,18,4,10,­
