,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,3N,4,5,4D,4,3,36
1,Back,334,407,528,151,435,582,405,344,204,3390
2,Regular,317,382,503,130,413,557,390,321,184,3197
3,Ladies,293,318,428,110,277,477,277,244,143,2567
4,Hdcp,15,5,9,17,1,7,3,11,13,­
