,西,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3N,4,4,4,4,3,5D,36
1,Blue,528,403,210,378,394,308,399,171,598,3389
2,White,515,366,177,345,361,289,378,156,581,3168
3,Red,413,274,142,333,295,270,299,146,462,2634
4,Hdcp,3,1,6,8,2,9,4,7,5,­
