,由布　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,5D,3,4,5,4,4,3N,4,36
1,Back T.,414,562,204,413,626,453,397,171,287,3527
2,Reg.,402,523,164,394,600,432,372,149,269,3305
3,Ledies,323,437,121,352,500,323,328,123,269,2776
4,Hdcp,7,11,13,9,1,3,5,15,17,­
