,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4D,3,4,4,5,3N,4,36
1,Blue,518,363,389,176,374,374,561,168,399,3322
2,White,470,330,352,133,339,337,513,146,364,2984
3,Red,405,275,318,104,297,311,410,129,316,2565
4,Hdcp,9,3,15,7,13,1,5,17,11,­
