,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,5D,3,4,4,5,4,3N,4,36
1,Blue,393,534,212,382,406,625,390,186,355,3483
2,White,360,505,155,340,364,579,362,157,338,3160
3,Red,299,405,116,304,305,420,322,136,212,2519
4,Hdcp,4,10,16,14,8,2,6,18,12,­
