,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,5D,4,4,4,3,5,36
1,Champ,416,361,175,601,411,372,408,202,520,3466
2,Back,388,334,152,552,377,336,388,180,482,3189
3,Reg,366,312,137,528,366,317,372,167,455,3020
4,Hdcp,7,17,15,3,1,13,5,11,9,­
