,ハイビスカス,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,4,3N,5,4,3,4D,36
1,Champion,527,429,388,397,176,530,394,234,386,3461
2,Back,497,401,373,377,149,505,363,200,363,3228
3,Reg.,473,368,354,377,143,481,338,170,346,3050
4,Front,449,352,308,314,125,359,338,148,315,2708
5,Ladies,384,298,308,314,125,359,279,148,267,2482
6,Hdcp,1,8,2,7,9,5,3,4,6,­
