,ウッズコース,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,4,5,4,4,3,5D,36
1,Champion,395,452,236,376,546,454,393,185,605,3642
2,Back,372,421,217,356,532,424,378,165,583,3448
3,Regular,347,388,177,333,501,384,346,152,524,3152
4,Front,317,346,121,288,476,346,307,119,496,2816
5,Ladies,260,317,121,222,399,307,237,119,386,2368
6,Hdcp,15,3,7,13,5,1,9,17,11,­
