,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,5,4D,3,4,3N,4,4,5,36
1,Champ,421,498,410,230,350,181,424,416,516,3446
2,Back,394,470,377,211,328,166,402,384,489,3221
3,Reg,372,440,350,195,317,153,394,358,454,3033
4,Hdcp,4,16,12,8,18,14,2,6,10,­
