,デイゴ,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,3N,4,4,3,4D,5,36
1,Champion,518,423,416,199,398,459,213,400,524,3550
2,Back,506,370,375,180,376,417,201,354,509,3288
3,Reg.,495,325,362,162,364,386,176,318,465,3053
4,Front,433,272,349,154,309,332,149,303,439,2740
5,Ladies,433,272,254,135,309,332,120,245,394,2494
6,Hdcp,9,1,2,7,6,3,5,4,8,­
