,イン,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,5,3N,4D,5,4,3N,4,36
1,Black,329,400,533,179,378,598,426,211,365,3419
2,Blue,329,348,488,179,378,567,426,180,365,3260
3,White,286,348,488,137,355,541,356,155,334,3000
4,Red,256,302,428,101,299,447,305,122,257,2517
5,Hdcp,16,10,4,14,8,2,18,12,6,­
