,オーシャンコース,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,4,3N,4,4,3,5D,36
1,Champion,444,356,526,464,186,444,397,201,544,3562
2,Back,434,327,507,444,161,428,388,182,517,3388
3,Regular,404,296,472,378,140,396,373,162,482,3103
4,Front,348,260,397,339,126,333,310,136,451,2700
5,Ladies,295,224,397,236,103,289,241,97,353,2235
6,Hdcp,14,18,8,2,10,6,12,16,4,­
