,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3N,4,5D,4,4,5,3,4,36
1,BACK TEE,398,170,411,597,360,421,504,227,422,3510
2,REG. TEE,377,146,356,567,342,392,479,211,399,3269
3,FRONT TEE,344,120,329,536,332,364,443,193,373,3034
4,LADIES TEE,315,120,300,465,258,350,443,139,305,2695
5,Hdcp,14,18,6,8,16,2,12,10,4,­
