,ブーゲンビレア,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,3N,4,5D,4,3,4,36
1,Champion,603,389,501,170,406,589,428,199,430,3715
2,Back,576,334,415,162,388,546,406,176,387,3390
3,Reg.,551,317,395,148,373,519,376,161,360,3200
4,Ladies,451,281,329,107,271,434,310,99,280,2562
5,Hdcp,4,9,1,8,2,7,5,6,3,­
