,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3,5,4D,4,4,3N,5,4,36
1,バック,375,165,390,370,355,380,156,380,360,2931
2,レギュラー,365,142,380,360,345,370,146,370,350,2828
3,フロント,267,120,330,278,295,260,129,315,280,2274
4,Hdcp,5,11,15,7,3,1,17,13,9,­
