,アウト,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,4,5D,4,3N,4,5,4,36
1,Black,425,186,376,494,478,177,423,552,416,3527
2,Blue,400,171,339,472,382,158,389,530,375,3216
3,White,323,146,339,458,364,158,389,514,318,3009
4,Red,272,128,279,406,323,103,291,480,291,2573
5,Hdcp,3,15,9,7,1,13,11,5,17,­
