,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,5,4,4,4,3,5D,4,36
1,BACK TEE,450,195,549,356,393,357,201,511,408,3420
2,REG. TEE,431,166,524,350,362,328,171,497,382,3211
3,FRONT TEE,408,151,508,338,341,301,151,471,354,3023
4,LADIES TEE,358,151,464,240,341,286,151,414,340,2745
5,Hdcp,3,13,1,7,9,11,17,15,5,­
