,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3N,4,5,3,5D,4,4,36
1,Back,351,373,200,395,560,214,514,379,412,3398
2,Regular,335,360,187,376,515,199,502,361,388,3223
3,Ladies,290,321,135,329,437,140,446,313,349,2760
4,Hdcp,16,10,18,8,4,14,2,12,6,­
