,阿山　IN,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,3N,5,3,4,4,5D,36
1,Back T.,464,420,367,145,545,210,347,376,495,3369
2,Regular,449,404,352,129,529,186,330,366,472,3217
3,Ladies,351,325,319,119,390,152,263,228,395,2542
4,Hdcp,2,4,12,18,6,16,14,10,8,­
