,阿山　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,4,5D,3,4,3N,4,36
1,Back T.,529,404,282,444,498,162,400,194,434,3347
2,Regular,506,351,367,417,472,155,377,171,408,3224
3,Ladies,452,313,309,358,392,137,322,137,364,2784
4,Hdcp,7,5,9,1,11,17,13,15,3,­
