,東,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,36
1,Back,538.0,414.0,414.0,151.0,408.0,350.0,313.0,173.0,561.0,3322
2,Front,511.0,399.0,357.0,137.0,359.0,334.0,294.0,155.0,510.0,3056
3,Ladies,445.0,298.0,340.0,122.0,338.0,308.0,264.0,119.0,452.0,2686
4,Hdcp,,,,,,,,,,­
