,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4D,4,5,4,3N,5,4,3,4,36
1,Champ.,389,366,561,464,198,492,375,189,381,3415
2,Reg.,373,342,542,447,163,479,349,162,362,3219
3,Ladies,315,290,415,335,106,395,284,133,247,2520
4,Hdcp,14,12,4,2,16,10,8,18,6,­
