,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3N,4,5D,4,4,5,3,4,36
1,Back T.,370,177,390,526,380,415,576,220,440,3494
2,Reg.,351,166,374,510,364,401,541,202,426,3335
3,Front,330,146,354,493,345,377,525,179,405,3154
4,Gold,318,130,337,481,329,363,515,148,375,2996
5,Ladies,300,110,310,420,290,340,450,130,350,2700
6,Pink,300,110,240,415,290,285,450,130,300,2520
7,Hdcp,14,18,8,4,12,6,2,16,10,­
