,中,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,36
1,Back,510.0,209.0,405.0,394.0,556.0,432.0,421.0,208.0,399.0,3534
2,Front,482.0,160.0,362.0,336.0,490.0,378.0,372.0,144.0,364.0,3088
3,Ladies,453.0,140.0,335.0,291.0,401.0,313.0,300.0,112.0,297.0,2642
4,Hdcp,,,,,,,,,,­
