,キングOUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,4D,4,3N,4D,4,5,3N,4,36
1,CHAMP,512,409,385,184,448,363,595,210,351,3457
2,REG,481,372,347,149,416,330,534,170,318,3117
3,FRONT,452,355,325,131,383,308,501,147,296,2898
4,LADIES,419,328,292,115,350,276,468,120,264,2632
5,Hdcp,11,5,9,17,1,15,3,13,7,­
