,東,1,2,3,4,5,6,7,8,9,計
0,Par,4D,4,3N,4,3N,5D,4,4,5,36
1,BACK,392,398,211,420,180,492,415,445,571,3524
2,REGULAR,376,375,145,403,160,473,375,381,511,3199
3,FRONT,365,360,116,391,154,460,370,366,500,3082
4,LADYS,310,350,92,297,97,420,320,355,408,2649
5,Hdcp,2,8,6,4,9,3,1,5,7,­
