,伊賀中,1,2,3,4,5,6,7,8,9,計
0,Par,5D,4,4,4,3N,5,4,4,3,36
1,Back T.,503,291,332,325,167,481,377,279,131,2886
2,Regular,476,264,306,306,150,461,352,258,105,2678
3,Ladies,424,264,406,269,130,366,320,252,105,2536
4,Hdcp,1,6,5,4,8,2,3,7,9,­
