,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,3N,5D,5,4,3,4,36
1,Black,445,401,396,219,510,547,448,245,374,3585
2,Blue,393,373,363,155,494,523,402,194,343,3240
3,White,366,352,339,132,472,497,340,158,315,2971
4,Red,285,324,315,106,373,398,311,127,291,2530
5,Hdcp,3,11,17,13,15,9,1,7,5,­
