,中,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,5D,4,5,4,3N,4,4,36
1,Back,444,227,497,340,567,367,163,422,386,3413
2,Regular,426,205,479,313,530,343,153,404,361,3214
3,Ladies,396,136,413,289,460,333,134,354,310,2825
4,Hdcp,4,3,5,8,1,7,9,2,6,­
