,東　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,4,4,5D,4,3,4,5,36
1,Back T.,436,189,338,334,544,363,214,418,538,3374
2,Reg,409,162,322,315,527,341,202,399,521,3198
3,Front,390,154,304,294,508,341,182,378,487,3038
4,Hdcp,3,17,15,13,5,11,9,1,7,­
