,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,3,4,4D,4,5,3N,4,4,36
1,Black,609,185,415,412,417,524,230,425,437,3654
2,Blue,588,162,399,364,373,483,181,402,423,3375
3,White,565,133,377,331,348,450,149,374,406,3133
4,Red,509,106,258,298,322,365,103,312,292,2565
5,Hdcp,4,16,10,18,2,12,8,14,6,­
