,東,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,4,5,4,3N,4,5D,4,36
1,Back,334,176,363,500,332,193,317,511,443,3169
2,Regular,315,154,342,484,317,179,301,497,427,3016
3,Ladies,278,143,319,456,303,140,301,410,400,2750
4,Hdcp,7,8,4,2,9,3,6,5,1,­
