,中,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,4D,3,4,4,3N,5,36
1,BLUE,389,365,526,397,181,411,406,152,510,3337
2,WHITE,370,346,505,367,155,392,389,127,485,3136
3,RED,323,277,460,302,111,359,298,111,421,2662
4,Hdcp,6,7,2,5,8,1,3,9,4,­
