,北,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4,3,4,4,4,3N,5D,36
1,Back T.,437,480,418,204,381,461,408,170,535,3494
2,Reg.,414,462,395,186,358,432,391,147,507,3292
3,Front,391,443,359,168,339,408,363,121,480,3072
4,Hdcp,3,9,2,5,7,1,4,8,6,­
