,西,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,4,5D,4,4,4,3N,5,36
1,Back,388,130,362,526,380,380,318,163,552,3199
2,Regular,368,110,345,516,367,366,297,148,538,3055
3,Ladies,354,97,330,416,352,239,275,131,450,2644
4,Hdcp,5,9,4,1,6,3,7,8,2,­
