,西,1,2,3,4,5,6,7,8,9,計
0,Par,4,5D,3N,4,3N,4,4,4D,5,36
1,BACK,414,522,201,357,165,395,382,461,527,3424
2,REGULAR,380,503,185,331,155,381,364,443,502,3244
3,FRONT,367,485,170,309,133,358,350,425,485,3082
4,LADYS,338,425,110,289,117,300,330,314,412,2635
5,Hdcp,4,2,7,8,9,3,5,1,6,­
