,西,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,5,4,4,3,4D,5,36
1,BLUE,394,460,167,531,377,393,201,434,585,3542
2,WHITE,346,398,137,502,345,360,162,384,564,3198
3,RED,297,326,114,447,304,318,117,342,448,2713
4,Hdcp,7,2,9,4,6,5,8,1,3,­
