,南,1,2,3,4,5,6,7,8,9,計
0,Par,4D,4,5,4,3N,4,3N,5D,4,36
1,BACK,440,405,486,406,240,390,240,545,348,3500
2,REGULAR,380,380,469,397,210,370,195,525,332,3258
3,FRONT,360,360,438,367,175,350,165,505,323,3043
4,LADYS,290,280,421,353,100,320,140,435,307,2646
5,Hdcp,3,2,6,7,5,4,8,1,9,­
