,伊賀西,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,4,3N,4,5D,3,4,36
1,Back T.,508,313,257,325,125,331,449,159,317,2784
2,Regular.,482,299,238,307,102,307,420,138,294,2587
3,Ladies,380,299,238,233,102,307,420,119,228,2326
4,Hdcp,1,6,7,4,9,3,2,8,5,­
