,キングIN,10,11,12,13,14,15,16,17,18,計
0,Par,4,5D,4,3N,4D,4,5,3N,4,36
1,CHAMP,383,521,420,186,454,439,606,227,402,3638
2,REG,350,488,343,164,421,389,536,183,378,3252
3,FRONT,328,466,328,142,399,346,514,172,356,3051
4,LADIES,295,433,306,120,366,324,437,131,323,2735
5,Hdcp,14,8,18,16,2,10,4,6,12,­
