,東,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,4,3,4D,4,3N,5,36
1,BLUE,580,401,403,420,198,401,390,177,509,3479
2,WHITE,558,373,346,401,177,380,310,157,493,3195
3,RED,504,313,300,303,132,322,274,101,445,2694
4,Hdcp,2,4,7,1,8,6,5,9,3,­
