,クイーンIN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3N,4,5D,4D,3N,4,5,36
1,CHAMP,410,366,190,401,563,476,188,388,574,3556
2,REG,377,344,151,362,509,416,167,339,519,3184
3,FRONT,355,290,131,340,487,394,143,317,476,2933
4,LADIES,323,257,110,307,454,339,103,295,437,2625
5,Hdcp,8,14,18,6,12,2,10,16,4,­
