,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3,5D,4,5,3N,4,4,36
1,Black,375,384,186,596,438,530,160,379,470,3518
2,Blue,356,360,163,556,409,503,138,352,441,3278
3,White,331,322,158,527,379,476,115,333,414,3055
4,Red,293,298,136,408,312,408,115,275,330,2575
5,Hdcp,6,12,16,10,4,8,18,14,2,­
