,クイーンOUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,5D,4,3N,4,5D,4,3N,4,36
1,CHAMP,399,525,390,180,361,591,405,219,392,3462
2,REG,366,492,356,148,328,558,383,186,350,3167
3,FRONT,344,470,334,128,306,536,361,148,328,2955
4,LADIES,312,437,301,98,273,470,317,131,295,2634
5,Hdcp,5,11,7,15,17,1,9,13,3,­
