,伊賀東,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,5,3,4,4D,5,4,36
1,Back T.,377,324,182,503,174,446,370,557,391,3324
2,Regular,344,299,160,484,153,409,344,521,369,3083
3,Ladies,285,299,12,138,101,282,276,406,303,2102
4,Hdcp,4,7,8,3,9,2,5,1,6,­
