,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3,5,4,4,3,4D,5,36
1,Championsh,401,410,170,530,453,376,199,372,564,3475
2,Back,372,388,159,503,427,350,179,356,542,3276
3,Regular,350,356,148,479,394,334,164,334,520,3079
4,Ladies,315,318,130,419,360,301,135,303,456,2737
5,Hdcp,8,6,12,14,2,18,10,16,4,­
