,霧島,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3,4,4,4,3N,4,5D,36
1,ﾍﾞﾝﾄBack,628,436,197,395,399,410,175,426,607,3673
2,ﾍﾞﾝﾄReg.,598,420,169,344,383,383,155,349,526,3327
3,ｺｰﾗｲBack,611,426,209,392,381,388,190,418,576,3591
4,ｺｰﾗｲReg,581,410,182,341,365,361,171,341,495,3247
5,Hdcp,12,10,14,8,16,4,18,2,6,­
