,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5D,4,4,3,4,4,3N,4D,5,36
1,Champion,498,422,396,189,407,438,180,427,545,3502
2,Back,492,401,377,178,379,393,173,403,525,3321
3,Regular,485,374,366,165,362,388,162,383,505,3190
4,front,466,361,352,149,340,370,145,347,483,3013
5,Ladies,422,340,239,118,319,287,120,283,451,2579
6,Hdcp,18,4,10,14,12,2,16,8,6,­
