,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3,5,4,5D,4,4,3N,4,36
1,Back,385,177,524,406,540,373,375,159,360,3299
2,REGULAR,354,159,505,393,502,358,343,142,337,3093
3,LADIES,305,108,449,347,455,309,306,102,294,2675
4,Hdcp,12,10,16,8,2,14,4,6,18,­
