,住吉,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,3N,4.0,4.0,4.0,4D,4.0,3N,5D,36
1,Back,483.0,165,456.0,325.0,428.0,453,399.0,188,536,3433
2,Regular,468.0,145,410.0,309.0,384.0,399,383.0,161,514,3173
3,Front,459.0,126,370.0,294.0,369.0,372,347.0,144,498,2979
4,Ladies,443.0,121,328.0,281.0,351.0,312,326.0,127,479,2768
5,Hdcp,,,,,,,,,,­
