,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4,4,3,4,3,5,4,36
1,Back,385,572,409,388,208,425,187,528,392,3494
2,Blue,358,547,392,360,185,409,168,502,375,3296
3,White,334,523,364,338,167,393,141,472,356,3088
4,Red,311,489,326,316,133,334,141,449,333,2832
5,Hdcp,13,3,7,11,15,1,17,9,5,­
