,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5D,4.0,4.0,4.0,3.0,4.0,3N,4.0,5.0,36
1,Back,563,428.0,463.0,401.0,220.0,376.0,177,374.0,519.0,3521
2,Reg.,483,381.0,406.0,355.0,173.0,341.0,150,330.0,486.0,3105
3,Hdcp,,,,,,,,,,­
