,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,3N,4,3N,4,4,5D,4,36
1,Back,519,357,185,394,200,435,432,573,382,3477
2,Regular,460,336,170,355,175,380,397,550,360,3183
3,Ladies,445,316,102,315,156,299,276,475,314,2698
4,Hdcp,10,14,16,2,18,4,6,12,8,­
