,尾鈴,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,4,4,3N,4,5,4D,5,36
1,ﾍﾞﾝﾄBack,408,164,405,401,126,349,509,361,512,3235
2,ﾍﾞﾝﾄReg.,395,139,380,384,109,335,487,341,501,3071
3,ｺｰﾗｲBack,379,140,378,391,132,328,511,351,487,3097
4,ｺｰﾗｲReg,366,114,353,374,117,309,489,331,476,2929
5,Hdcp,6,4,1,3,9,2,5,8,7,­
