,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,5,3N,5,4,4,3,4,4,36
1,青,341,485,140,495,383,413,190,317,423,3187
2,白,331,460,127,477,359,388,171,308,400,3021
3,赤,326,455,122,472,354,331,166,303,289,2818
4,Hdcp,16,6,18,2,12,4,10,14,8,­
