,高千穂,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,4.0,3N,5D,4.0,3N,5D,4.0,4.0,36
1,Back,391.0,436.0,180,567,403.0,202,521,386.0,437.0,3523
2,Regular,381.0,393.0,165,512,384.0,184,484,373.0,399.0,3275
3,Front,372.0,379.0,144,488,365.0,172,471,344.0,382.0,3117
4,Ladies,366.0,366.0,124,437,348.0,110,392,331.0,326.0,2800
5,Hdcp,,,,,,,,,,­
