,日南,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,5.0,3N,4D,4.0,4.0,3N,4D,5.0,36
1,Back,403.0,501.0,184,372,369.0,382.0,188,398,509.0,3306
2,Regular,383.0,486.0,167,361,345.0,371.0,178,385,473.0,3149
3,Front,368.0,449.0,150,337,331.0,340.0,165,338,446.0,2924
4,Ladies,354.0,431.0,139,326,317.0,315.0,157,303,361.0,2703
5,Hdcp,,,,,,,,,,­
