,橘,1,2,3,4,5,6,7,8,9,計
0,Par,4,5D,4,4,3,5,3N,4,4,36
1,ﾍﾞﾝﾄBack,465,515,450,360,184,579,166,410,430,3559
2,ﾍﾞﾝﾄReg.,450,505,420,350,168,564,149,366,420,3392
3,ｺｰﾗｲBack,454,518,463,340,190,569,138,385,390,3447
4,ｺｰﾗｲReg,439,508,433,330,177,554,123,341,380,3285
5,Hdcp,1,15,3,13,7,11,17,9,5,­
