,因幡,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,3N,4,5D,3,4,4,36
1,Back T.,552,355,416,170,405,519,213,399,416,3445
2,Reg.,519,339,410,153,383,510,186,388,394,3282
3,Front.,487,335,388,140,370,503,170,372,375,3140
4,Ladies.,442,330,372,120,340,449,117,350,331,2851
5,Hdcp,3,6,5,9,1,2,7,8,4,­
