,美作,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,3,5,4D,4,3N,5,36
1,Back T.,410,394,388,186,514,437,448,180,514,3471
2,Reg.,399,383,366,170,503,425,405,164,492,3307
3,Front.,382,361,354,137,487,394,383,148,470,3116
4,Ladies.,361,334,306,126,416,314,312,102,402,2673
5,Hdcp,2,7,5,9,3,1,4,8,6,­
