,パインツリーゴルフクラブ　IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,3N,5,4D,4,3,4,4,36
1,BACK,502,340,175,545,442,350,193,408,355,3310
2,REGULAR,472,327,155,471,425,342,169,389,337,3087
3,LADIES,450,306,141,428,365,325,127,336,298,2776
4,Hdcp,18,12,16,6,2,14,4,8,10,­
