,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,5,4D,4,3,5,4,36
1,CHAMPION,398,403,200,563,456,431,213,540,430,3634
2,Member,376,377,182,535,415,384,185,501,410,3365
3,FRONT,356,348,161,508,395,342,175,480,395,3160
4,LADIE’S,318,329,125,478,354,295,143,439,365,2846
5,Hdcp,9,3,15,13,1,7,17,5,11,­
