,播磨,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3N,4,4D,4,5,3,4,36
1,Back T.,505,394,175,399,443,350,514,191,388,3359
2,Reg.,487,372,159,388,399,339,498,175,377,3194
3,Front.,477,360,142,372,377,330,487,153,361,3059
4,Ladies.,465,306,131,314,350,319,476,128,335,2824
5,Hdcp,5,2,9,4,1,7,3,8,6,­
